Tree	q1	q2	cellpop	coars	cryst	dens	mfa	moe	rad	rwidth	specsurf	tad	cellwt	h97
E560A3_3_055_3	-4.464	0.971	1252.6494	355.9594	2.6314	444.5733	10.5051	14.4799	28.7042	2.8592	338.5251	29.3237	2.2821	490
E560A3_3_057_2	-0.77	-2.946	1258.5723	304.2038	2.5816	388.7459	20.8529	8.1541	29.8444	4.2476	403.765	27.9971	1.9557	510
E560A3_3_058_2	-0.458	-0.247	1453.852	304.6431	2.6007	444.2085	18.1268	10.6406	29.0798	3.25	364.2844	24.4667	2.1075	500
E560A3_3_061_1	4.384	2.566	1240.4032	316.8207	2.6602	390.0778	18.853	9.7066	30.8769	3.2153	378.0454	27.2669	1.9845	545
E560A3_3_062_1	5.373	1.122	1372.3188	316.1092	2.5242	431.9326	26.5403	7.5747	28.754	3.2062	362.265	26.2952	2.1114	470
E560A3_3_062_3	1.8	0.712	1181.4307	347.8929	2.5907	408.6331	16.5322	10.5447	31.1427	3.1776	357.3571	28.2867	2.1448	485
E560A3_3_064_2	3.752	0.692	1204.8483	345.4897	2.6148	414.1919	19.589	9.7172	29.5414	3.335	352.5309	29.068	2.1529	265
E560A3_3_064_3	3.823	3.733	1492.0343	273.4521	2.7128	405.0184	17.3677	10.6673	28.9005	3.6038	398.4613	24.1562	1.8815	380
E560A3_3_065_4	4.651	0.886	1257.1253	326.8562	2.5821	406.998	18.85	10.0432	30.3418	3.0278	369.4162	27.3322	2.0738	420
E560A3_3_065_5	3.763	2.061	1495.4444	284.5679	2.6642	423.6079	24.2181	8.7576	29.5692	3.5328	384.5847	23.5565	1.9674	460
E560A3_3_066_5	-5.942	0.276	1320.3303	287.7699	2.5545	380.177	21.9285	7.9201	29.3477	3.4145	409.952	26.7557	1.8724	410
E560A3_3_068_1	-3.025	-2.405	1387.7022	273.2718	2.5673	377.6426	22.3418	7.5003	28.8395	4.1194	414.2339	26.0116	1.8116	405
E560A3_3_068_3	-5.238	-1.391	1314.1056	268.2631	2.5894	353.7766	18.8652	7.7948	30.8144	4.0812	434.8665	25.4657	1.7273	380
