Tree	q1	q2	cellpop	coars	cryst	dens	mfa	moe	rad	rwidth	specsurf	tad	cellwt	h97
E560A3_1_001_5	2.854	1.932	1496.516	273.7225	2.6362	411.4533	21.6215	8.9021	27.9302	3.5132	403.3307	25.1267	1.9088	480
E560A3_1_002_1	1.015	0.057	1278.2485	327.0422	2.5825	412.9375	19.9248	9.0111	28.815	2.8727	363.3688	28.3817	2.0883	575
E560A3_1_003_4	2.006	-0.972	1143.5264	355.7912	2.4591	406.0072	25.9364	6.644	30.7658	3.701	353.2512	29.7305	2.1565	725
E560A3_1_004_2	2.023	-2.276	1535.6448	297.1181	2.72	456.4901	14.7842	13.545	26.9164	2.575	367.2523	25.4213	2.1193	520
E560A3_1_004_3	0.764	-2.041	1446.3479	292.0211	2.5402	419.4878	25.4876	6.8925	28.1806	2.8226	378.5956	25.535	1.9891	460
E560A3_1_005_4	0.312	0.67	1473.4526	293.6721	2.5887	434.2391	19.8139	10.0984	27.9211	2.4028	373.1823	25.0462	2.0442	400
E560A3_1_006_2	1.025	-1.332	1376.4034	327.2361	2.5974	449.1295	21.9698	9.5097	28.5262	2.7318	349.9763	26.463	2.2023	495
E560A3_1_006_3	0.248	1.907	1198.1985	368.3536	2.6367	443.3135	13.0708	12.8555	29.7359	2.7417	333.0925	29.0372	2.3234	540
E560A3_1_006_4	1.87	-3.731	1356.818	300.0825	2.6182	409.3198	19.0213	9.5938	27.8114	2.9222	383.3505	27.5358	1.9959	370
E560A3_1_007_1	1.104	-0.617	1353.4794	337.7823	2.6407	455.7497	14.1948	13.2223	29.1298	2.1	343.4297	26.4432	2.2571	405
E560A3_1_007_2	2.563	-1.757	1365.9883	318.3692	2.6067	437.768	19.6415	9.8027	28.3064	2.9278	364.1377	27.0866	2.1418	480
E560A3_1_008_4	1.882	-0.703	1419.4391	324.3968	2.6235	462.3954	12.7142	13.9755	27.0083	2.1395	343.9417	27.0825	2.2356	525
E560A3_1_009_2	0.898	0.499	1847.8226	275.9292	2.6567	515.9997	15.7859	13.9311	23.0131	2.475	358.4846	24.4353	2.2067	580
E560A3_1_010_1	-0.466	-0.182	1748.572	260.7019	2.6331	456.1105	16.8923	11.6752	25.4489	2.7462	385.5818	23.2759	1.9816	320
E560A3_1_010_3	2.674	-0.72	1521.3174	315.1525	2.6393	474.333	15.6679	13.2017	26.9166	2.86	349.2209	25.677	2.2336	410
E560A3_1_011_4	0.783	-3.556	1439.8387	280.9297	2.6212	404.0975	21.2709	8.6876	26.9089	3.5812	397.8243	26.9595	1.911	560
E560A3_1_012_1	1.808	-3.141	1605.1497	261.4519	2.5598	419.6049	26.9261	7.2325	27.1915	4.25	408.4921	23.8661	1.8891	520
E560A3_1_012_4	-0.185	-2.246	1559.3528	276.1511	2.64	430.633	17.2967	10.9151	28.1676	2.95	383.8106	23.5479	1.9609	350
E560A3_1_013_4	0.284	-0.197	1352.1599	345.2743	2.6758	459.6751	15.4117	12.2863	29.3511	3.8028	335.5573	26.655	2.284	640
E560A3_1_014_2	2.741	0.502	1591.7449	289.1	2.652	458.0575	15.341	11.7517	27.1934	2.9967	364.8896	24.2401	2.0862	510
E560A3_1_014_5	2.168	-1.364	1431.6949	291.4501	2.6598	417.895	13.977	12.2793	27.2066	3.0712	381.8474	26.6582	1.9897	410
E560A3_1_015_3	2.23	2.411	1487.6591	271.1032	2.5934	403.6319	21.9683	8.4683	26.8787	2.5441	407.0424	26.0198	1.8805	425
E560A3_1_016_1	2.615	-1.119	1319.6389	363.0725	2.6314	481.999	14.6051	12.8534	26.9759	2.5605	321.8021	28.9099	2.4294	490
E560A3_1_017_1	4.226	-0.882	1404.7677	303.5243	2.6328	423.9417	19.9895	9.9009	27.8547	2.7867	368.1732	26.5813	2.0443	440
E560A3_1_017_3	2.037	-3.009	1344.6735	367.082	2.598	486.4843	19.0575	11.2111	28.1949	2.7205	321.0589	28.3048	2.4384	540
E560A3_1_017_4	2.275	-1.488	1375.6521	280.2925	2.7807	377.2665	17.9651	9.7171	29.0503	3.3156	409.8697	26.686	1.8232	535
E560A3_1_017_5	0.948	-3.056	1361.4992	286.8459	2.5808	389.1979	19.1551	8.7233	29.4616	2.3132	397.3725	25.7758	1.8859	380
E560A3_1_020_3	2.252	0.208	1614.9518	281.6988	2.5996	451.736	19.1953	10.6241	25.4071	3.1167	369.8032	25.2707	2.0452	490
E560A3_1_020_5	1.775	-1.774	1283.9059	311.2072	2.5955	400.5894	21.5055	8.1833	29.5677	3.4612	377.2424	27.3075	2.0031	520
E560A3_1_021_1	2.599	-2.496	1306.6087	295.0099	2.6073	383.422	16.1959	9.5387	29.4103	3.3597	397.3866	27.2734	1.8983	480
E560A3_1_021_2	1.415	-0.642	1439.9429	309.4733	2.629	442.1851	18.6655	10.5754	26.4932	3.1066	368.6497	27.5392	2.1225	490
E560A3_1_021_4	1.772	0.461	1340.5034	335.1491	2.6206	449.5035	17.8246	10.7859	28.3531	2.7264	346.9942	27.72	2.2272	440
E560A3_1_022_2	1.647	-1.698	1475.5383	296.9691	2.5852	434.9298	17.5752	9.99	27.3609	2.8042	371.8536	25.7532	2.0533	550
E560A3_1_022_3	2.719	0.301	1246.0469	343.8669	2.529	427.9154	23.095	8.1195	30.6854	2.8988	351.6694	27.6252	2.1855	520
E560A3_1_023_2	0.683	-2.079	1454.8874	313.2457	2.6179	452.6186	12.1241	13.7693	26.2145	1.8958	356.487	27.2838	2.1611	350
E560A3_1_024_3	1.327	-1.747	1623.7815	308.1622	2.5704	495.444	15.8733	11.8533	24.8429	2.2145	344.0353	25.7209	2.2699	420
E560A3_1_024_4	1.605	-1.097	1658.5098	267.4072	2.6422	445.6458	17.0202	11.0859	24.5054	2.79	389.3349	25.6309	1.9826	490
E560A3_1_025_4	0.286	-0.915	1472.8308	266.5855	2.6531	396.6911	21.8536	8.1095	28.5233	3.4146	411.5778	24.4208	1.842	380
E560A3_1_027_4	3.666	-1.518	1720.2785	275.7602	2.6162	465.8319	17.2802	11.3958	25.2112	2.8306	371.9255	24.1874	2.0631	530
E560A3_1_028_1	1.414	-1.055	1572.1465	282.4109	2.5916	445.0417	16.703	10.6699	27.083	2.7515	377.1379	24.1738	2.0366	360
E560A3_1_028_4	2.075	-1.415	1513.7622	263.1975	2.6644	405.7132	21.528	8.7501	27.5296	3.0038	414.5687	24.8448	1.8623	490
E560A3_1_030_3	2.074	-1.987	1336.8707	345.9909	2.6098	463.21	17.692	11.7375	28.0403	2.1812	334.8305	27.5099	2.3135	475
E560A3_1_030_4	-0.207	-0.414	1405.1077	378.5595	2.6225	529.8008	18.8035	12.5877	27.5289	2.1071	296.5601	26.8424	2.6168	480
E560A3_1_031_3	0.584	-1.769	1428.7817	310.7566	2.6027	439.3621	18.6031	10.5919	28.8658	2.6487	364.8191	25.5969	2.1085	420
E560A3_1_032_1	1.183	-0.723	1298.2329	309.0193	2.5348	402.5119	28.1331	6.6322	29.6556	3.8357	378.5319	26.7958	2.0032	570
E560A3_1_032_4	1.297	-2.714	1341.7845	311.2184	2.5788	409.5202	18.459	9.8352	29.2993	2.9952	374.0725	26.7401	2.024	560
E560A3_1_033_1	2.521	0.946	1292.0111	339.614	2.622	442.1194	16.2928	11.2391	29.1582	3.1464	341.3669	27.2821	2.223	520
E560A3_1_034_1	2.126	-2.797	1298.1065	299.9823	2.6695	386.6341	20.3368	9.0176	31.2319	3.5683	398.9725	25.5363	1.9227	570
E560A3_1_035_3	3.773	-1.985	1454.0229	289.3864	2.5803	424.9638	23.6912	8.1062	29.3237	2.75	383.5909	24.1254	1.9994	430
E560A3_1_036_5	-2.173	-2.329	1314.6968	273.6795	2.7402	357.0612	24.9067	6.972	28.4934	4.0367	428.7462	27.9577	1.7544	470
E560A3_1_037_3	0.779	-1.101	1605.1001	283.8883	2.6364	457.5736	15.6012	12.4139	25.7879	2.5125	371.41	25.1023	2.0739	490
E560A3_1_037_5	0.2	-2.847	1507.1383	297.6171	2.5871	445.9647	13.5954	11.9647	25.4615	2.4708	366.9975	27.1558	2.0866	440
E560A3_1_038_3	-1.1	2.428	1487.0969	313.121	2.5928	467.5732	17.8788	11.4795	26.725	1.8224	353.4948	26.2227	2.2084	355
E560A3_1_038_4	-1.491	0.564	1365.9165	335.3172	2.5506	455.5564	20.2959	10.0952	27.1334	2.8675	346.6723	28.2365	2.2473	550
E560A3_1_039_2	-1.172	-0.159	1522.6892	305.806	2.5558	458.2354	23.7781	8.9076	26.2804	2.8479	360.7068	26.1412	2.1533	645
E560A3_1_040_4	-2.415	-0.371	1249.6041	323.8345	2.5631	403.476	22.7402	7.9224	29.0965	3.3153	374.7052	28.7497	2.0569	390
E560A3_1_040_5	-0.121	-0.844	1349.0912	304.1035	2.5607	404.8307	21.5156	8.4654	28.6254	2.5825	379.2644	27.0129	1.9907	415
E560A3_1_041_3	-5.445	3.131	1187.0091	328.1432	2.5878	387.5425	19.9445	8.8116	32.2427	3.6663	375.7824	27.3821	2.0116	725
E560A3_1_042_2	-6.622	2.958	1409.3333	290.0142	2.6634	412.3059	18.7601	10.1572	28.6552	3.5125	390.362	25.6229	1.9729	570
E560A3_1_043_4	-6.441	0.868	1302.6977	359.4293	2.4771	464.0153	27.8921	6.6875	28.3498	2.695	340.2271	28.1061	2.3576	520
E560A3_1_044_2	-5.416	3.066	1529.5403	259.5355	2.6384	402.6063	17.8467	10.6019	26.3309	2.6917	420.4793	25.6591	1.8449	450
E560A3_1_044_4	-4.739	-0.867	1159.7159	360.9615	2.607	416.4534	15.6656	11.1256	31.1947	3.1675	344.0941	28.9061	2.2076	560
E560A3_1_045_4	-5.83	2.781	1421.9395	344.9827	2.6272	492.0304	11.1326	15.3986	28.1317	2.51	332.6604	26.039	2.4057	550
E560A3_1_046_1	-6.57	-2.317	1406.8741	287.6411	2.6473	407.2836	16.4657	10.3156	28.2887	3.36	391.6205	26.0277	1.9441	485
E560A3_1_046_4	-2.794	-3.034	1599.6244	274.2457	2.7361	435.3582	14.9065	12.7291	27.0331	2.4517	387.3215	24.134	1.9753	440
E560A3_1_046_5	-4.376	-2.262	1439.3535	318.7804	2.6126	454.9858	10.3957	14.6789	27.2638	2.7736	351.568	26.5346	2.1865	430
E560A3_1_047_4	-4.111	-1.311	1216.2391	335.7555	2.5987	404.6203	17.048	10.0711	30.8499	3.2464	367.829	28.1623	2.092	505
E560A3_1_048_3	-3.704	-2.551	1233.9778	370.2129	2.6139	457.7666	10.5232	14.4178	30.3818	3.094	326.4653	27.9079	2.3705	730
E560A3_1_048_5	-3.073	-0.934	1343.1089	294.1022	2.6004	392.5853	21.9263	8.3322	28.9517	4.7028	391.1844	26.8546	1.9216	650
E560A3_1_050_1	-5.666	-2.399	1223.3584	321.6276	2.5935	389.263	21.1479	8.9303	30.0466	4.0685	378.7157	28.5369	2.0005	655
E560A3_1_050_3	-4.289	-1.744	1247.939	340.2917	2.6161	424.2926	14.3735	11.3946	28.149	3.3109	356.2585	29.6296	2.1701	630
E560A3_1_050_5	-4.095	-2.076	1472.4243	307.9639	2.5759	455.142	15.1995	12.1639	27.4513	2.2226	365.9982	25.4832	2.1717	375
E560A3_1_051_4	-21.441	10.495	1518.6424	257.89	2.6385	391.8805	16.5391	9.8814	26.6441	2.1417	418.8836	25.5797	1.8015	370
E560A3_1_051_5	-21.412	8.778	1196.0642	326.7172	2.5966	391.1484	16.649	9.8145	32.0268	3.1761	378.5691	27.062	2.0234	585
E560A3_1_054_2	-3.59	1.266	1521.5868	281.5905	2.7712	420.6443	12.9075	12.4112	26.8393	2.4888	391.1739	25.8625	1.9602	630
E560A3_1_055_5	-5.23	2.334	1638.9642	271.5333	2.6572	445.5415	20.9079	9.4289	25.7547	3.1417	383.7204	24.3962	1.9985	330
E560A3_1_056_3	-0.486	-1.303	1318.1741	320.6386	2.5959	425.3213	14.6762	11.7595	30.0426	2.6552	367.9565	26.2165	2.114	740
E560A3_1_056_4	-1.657	-0.839	1336.0994	304.0394	2.6192	406.947	20.6291	8.7917	28.6099	4.5227	384.8608	27.3749	2.0033	890
E560A3_1_057_3	-0.437	0.226	1657.1831	263.1748	2.6307	437.0621	16.2455	11.1361	26.0158	2.4518	394.4221	24.1543	1.94	410
E560A3_1_057_4	0.566	-1.478	1254.6514	347.1903	2.6037	431.8276	11.4248	13.3959	29.8055	2.8337	352.257	27.8842	2.2211	500
E560A3_1_059_3	-0.586	-1.01	1501.6544	308.2618	2.6118	466.2109	19.0135	9.5251	25.8297	2.59	354.7509	26.9146	2.186	435
E560A3_1_059_5	-0.258	-0.827	1423.1156	268.1316	2.6625	382.9343	21.6747	8.6395	28.6396	3.4016	417.6382	25.401	1.8094	660
E560A3_1_060_2	-0.498	0.215	1226.7081	364.1635	2.5663	441.7074	18.3887	10.1037	32.1023	3.1364	335.6394	26.7914	2.2882	675
E560A3_1_061_4	4.366	0.536	1269.4178	314.0923	2.7025	394.2428	20.3132	9.712	29.3721	3.3237	379.1902	28.093	1.9904	510
E560A3_1_062_4	6.077	1.499	1126.5856	381.2373	2.5941	425.9328	17.7451	10.4815	33.325	4.04	330.8009	27.6857	2.2892	560
E560A3_1_063_3	4.101	3.055	1409.1503	295.3688	2.6039	417.337	25.4194	7.7429	28.8494	3.7781	375.6668	25.5706	1.9953	510
E560A3_1_064_1	4.422	2.905	1329.2929	344.1032	2.4495	458.6008	28.3587	7.5103	31.387	2.9842	336.7915	24.7203	2.2706	420
E560A3_1_065_1	5.006	2.768	1349.0667	324.6943	2.5502	438.9574	22.0702	9.3806	30.464	2.8964	361.6238	25.4064	2.161	550
E560A3_1_065_4	3.729	3.252	1645.7723	283.2286	2.6411	466.6687	21.075	10.926	26.9019	2.5232	365.4806	23.2505	2.0898	380
E560A3_1_066_4	-2.392	-0.401	1412.8496	287.7904	2.6592	402.9379	21.5913	8.4917	29.574	3.0469	387.2989	24.8397	1.9221	445
E560A3_1_067_2	-4.058	-0.566	1251.7119	321.0949	2.5748	400.1863	16.3431	9.9452	29.489	2.7361	377.9114	27.9351	2.0436	420
E560A3_1_067_3	-4.449	-0.144	1525.4316	279.1573	2.6586	420.9628	15.9058	11.402	27.1459	2.9809	388.1802	25.3314	1.9493	615
E560A3_1_068_3	-4.682	-2.526	1499.5503	267.6251	2.6338	400.4017	21.6636	8.7228	27.5678	3.0143	406.2096	25.1928	1.8554	340
E560A3_1_069_5	-4.948	0.081	1197.998	335.6041	2.5673	400.636	19.8788	8.8799	30.9075	4.0026	367.6726	28.1658	2.0812	560
E560A3_1_070_2	-3.807	0.192	1328.6158	309.4849	2.6058	408.2674	16.3378	10.8144	27.7176	2.7667	378.7976	28.1419	2.0227	495
E560A3_1_070_5	-5.826	1.366	1335.249	285.27	2.4872	379.4971	29.8579	5.6895	30.1157	4.1484	406.2549	25.8198	1.8527	590
E560A3_1_071_1	-4.214	0.685	1217.9709	348.5501	2.5393	424.0313	26.049	6.9841	30.2366	2.9784	347.9313	28.2102	2.1923	570
E560A3_1_071_3	-0.055	-1.467	1313.2552	315.5099	2.6123	415.2993	13.6279	11.3609	29.973	3.0388	370.4657	26.1938	2.0607	535
E560A3_1_071_4	1.067	0.017	1335.0495	308.4408	2.7287	408.7487	13.8396	12.71	28.6116	3.4821	375.9799	27.4007	2.0161	560
E560A3_1_072_1	-4.277	0.484	1379.3353	273.1922	2.5967	384.2428	19.9902	8.4893	27.9694	3.4647	420.4736	26.9873	1.838	535
E560A3_1_072_3	-3.783	1.457	1758.6343	276.2757	2.7403	482.2333	14.9311	13.7288	25.1722	2.2	368.7179	23.4262	2.115	440
E560A3_1_073_1	0.636	-0.659	1346.7429	304.1588	2.5598	406.722	20.2772	8.8819	30.0719	3.275	390.722	25.7756	2.0012	570
E560A3_1_073_3	-2.807	-3.093	1470.0662	268.733	2.6173	392.9909	22.1559	8.2082	27.0741	2.7031	412.6914	26.1461	1.8427	410
E560A3_1_074_2	-0.295	-2.047	1288.6914	315.4512	2.7062	406.9443	18.9036	10.4142	29.7175	3.6125	373.3849	27.1712	2.0351	580
E560A3_1_075_1	-1.584	-0.499	1309.7437	331.7312	2.5818	432.173	15.6067	11.1193	29.7139	2.5053	355.7189	26.7537	2.1654	430
E560A3_1_075_4	-1.715	-2.39	1243.1085	342.985	2.5135	424.5003	22.9051	8.3547	30.3082	3.5643	353.3144	27.6271	2.1767	640
E560A3_1_076_5	-2.072	2.26	1469.5454	279.9072	2.7023	412.7233	16.0698	11.9066	27.3469	3.225	395.8085	25.9325	1.9359	605
E560A3_1_077_3	0.386	-3.6	1379.6902	308.9481	2.6331	418.7287	18.005	10.1916	28.0596	3.3653	368.2892	27.3585	2.0404	560
E560A3_1_077_5	0.152	-1.547	1246.3941	281.8978	2.7052	351.6281	21.1579	7.9982	29.6169	4.5765	431.4205	28.4025	1.7668	710
E560A3_1_078_1	0.488	-2.143	1289.0414	326.1249	2.4888	417.2178	26.9903	6.5722	29.7336	3.5737	361.5692	27.2502	2.0967	520
E560A3_1_078_5	-3.017	0.755	1276.6664	297.3704	2.6372	378.5122	15.2459	9.93	29.5686	4.105	399.2185	27.9442	1.8906	570
E560A3_1_079_1	-3.71	0.527	1247.4919	327.185	2.5244	412.5228	26.3408	7.2149	31.0098	3.1556	366.9679	26.8623	2.0891	530
E560A3_1_079_2	-2.995	0.241	1257.4183	323.6688	2.5764	408.1305	14.3218	10.9089	30.0042	3.2417	377.2781	27.6698	2.073	525
E560A3_1_080_1	-4.401	0.109	1588.1319	245.1539	2.7294	387.0731	24.8239	7.4831	26.25	3.4719	437.0872	25.36	1.7405	580
E560A3_1_080_5	-4.47	1.241	1601.7161	271.3073	2.59	438.752	20.0287	9.8008	25.6874	2.7583	388.0367	25.0262	1.9796	305
E560A3_1_081_1	1.997	-2.946	1450.0388	305.317	2.6425	442.406	15.5839	11.3996	27.6567	3.1681	364.5433	26.188	2.1066	540
E560A3_1_081_5	2.029	-0.867	1361.2778	318.6092	2.591	431.6881	18.636	9.8875	29.9832	3.1583	369.1686	25.665	2.1192	455
E560A3_1_082_1	1.175	-1.077	1270.5744	318.8112	2.5484	401.4708	18.8791	8.8829	30.9341	3.775	372.4791	26.6756	2.0219	565
E560A3_1_082_3	-0.116	-0.269	1421.177	309.5487	2.7729	438.4704	14.164	13.0037	28.7471	3.655	368.9402	25.8104	2.1086	610
E560A3_1_083_2	2.208	-1.039	1349.9355	325.9559	2.6337	436.0547	14.0853	12.2858	29.4409	3.1338	355.1389	26.3329	2.1538	520
E560A3_1_083_4	3.251	-3.817	1423.5536	302.4695	2.6167	431.6854	14.6032	11.7337	27.5997	2.4691	369.2894	26.0465	2.07	405
E560A3_1_084_1	2.977	-1.762	1253.8522	376.7796	2.552	470.2325	22.6863	9.6801	30.3265	3.656	319.4957	27.5647	2.4261	585
E560A3_1_085_5	0.543	-2	1076.7283	367.9202	2.4945	390.0604	20.8287	8.4875	31.84	4.0795	359.4175	30.8712	2.1434	690
E560A3_1_086_2	-0.711	-0.232	1650.4218	283.2062	2.5929	465.9462	19.9212	10.3255	25.0966	2.0955	374.5279	25.2215	2.0994	460
E560A3_1_086_3	0.744	-2.271	1282.5928	339.3972	2.5568	437.197	13.9363	12.6395	29.2691	2.8329	355.4891	27.6317	2.2166	490
E560A3_1_087_3	-0.391	-2.249	1531.547	290.2678	2.6238	440.2527	19.9549	9.743	26.8539	3	373.3892	25.4058	2.0454	560
E560A3_1_088_1	-1.013	-0.078	1301.2491	352.262	2.6361	453.4656	16.8609	11.7396	29.5851	3.7889	330.7621	27.1062	2.2901	625
E560A3_1_088_4	-1.388	-0.659	1146.0311	343.4964	2.5585	391.5808	17.6297	9.3376	32.7685	3.6761	364.0996	27.694	2.0698	650
E560A3_1_089_4	-0.002	0.326	1489.5048	320.4058	2.5927	477.2946	19.2941	11.4699	26.7923	2.375	349.7369	26.1815	2.2713	440
E560A3_1_089_5	1.906	0.453	1457.6376	296.0371	2.608	431.4408	23.4373	8.6419	26.9728	3.1103	372.033	26.4934	2.0401	495
E560A3_1_090_1	1.07	-2.172	1379.3929	316.1313	2.7317	422.0777	19.9692	10.4771	28.6859	3.4132	370.9256	26.6506	2.0794	620
E560A3_1_090_2	-0.219	-1.933	1220.4894	410.9812	2.591	493.487	18.0243	11.7863	30.0407	2.8687	297.9084	28.7733	2.6094	670
E560A3_1_090_5	2.161	0.2	1436.9512	288.2595	2.5548	417.0693	27.0177	7.2705	29.1936	3.7763	391.0838	24.8549	1.9744	640
E560A3_1_091_5	0.385	-2.864	1368.6985	326.064	2.5237	443.7029	22.0813	8.4563	27.6676	2.9391	352.4152	27.332	2.1804	365
E560A3_1_092_2	1.143	0.522	1521.3372	247.2594	2.6444	380.0368	15.4307	10.4947	27.1494	2.6646	435.1689	24.9719	1.7334	490
E560A3_1_093_1	1.348	-0.89	1378.4879	289.9422	2.5339	400.0457	24.7028	7.4603	27.8395	2.3092	394.8914	26.9698	1.9373	355
E560A3_1_093_3	2.5	-0.14	1426.7582	280.9784	2.5717	401.5353	23.4081	8.1872	27.8416	3.1375	400.2034	25.991	1.9132	385
E560A3_1_094_2	2.438	-1.837	1146.2991	365.526	2.5705	415.7343	14.3529	10.7694	32.8218	3.506	343.7522	27.5091	2.2114	555
E560A3_1_094_3	1.423	-1.653	1515.3099	290.7925	2.5968	440.785	18.3855	9.9957	27.729	2.3102	369.8832	24.6511	2.0462	495
E560A3_1_095_2	1.165	-1.619	1431.3245	292.583	2.5174	420.3115	29.0474	6.2715	27.6839	3.2597	379.7245	26.311	2.0001	470
E560A3_1_095_3	4.037	-1.531	1315.0247	342.088	2.6049	446.2056	12.6826	12.5721	28.7884	2.9341	347.2476	27.8274	2.2488	610
E560A3_1_096_1	0.066	-2.798	1248.1261	324.5633	2.5519	404.6847	20.4552	8.7125	28.7337	3.3813	374.886	29.2141	2.062	530
E560A3_1_097_1	-1.895	-0.388	1434.8953	275.0585	2.5424	390.2376	22.436	8.0872	27.3721	2.7026	412.9812	26.718	1.8546	330
E560A3_1_098_2	1.238	-3.156	1393.0045	268.2697	2.5788	370.7948	21.0198	8.0299	29.1114	4.9574	420.7708	25.6239	1.7724	715
E560A3_1_099_2	-1.319	0.809	1238.5677	350.785	2.5519	426.6538	21.0552	9.2902	30.0065	3.4298	345.8678	28.2759	2.2029	510
E560A3_1_100_1	-2.73	0.491	1283.7012	360.4841	2.5398	460.7493	22.1174	9.5358	29.0382	2.9224	329.4986	28.1085	2.344	405
E560A3_1_100_3	1.69	-0.925	1488.6991	300.8723	2.5599	442.9283	20.2832	10.2832	27.0819	2.5329	367.4811	26.0731	2.0924	570
E560A3_1_101_3	-1.508	-0.407	1341.5185	297.4249	2.6649	398.7734	17.4974	9.9171	28.9203	4.4571	386.1623	27.0806	1.9502	510
E560A3_1_102_1	-1.621	-1.371	1293.2848	338.3697	2.598	433.279	12.6372	12.068	28.2294	3.3425	349.0273	28.648	2.1883	490
E560A3_1_102_5	0.034	-1.278	1268.0814	365.3185	2.5666	460.7385	17.975	10.587	26.9814	3.4395	329.8757	30.1728	2.3623	530
E560A3_1_103_2	-1.087	-1.302	1295.8491	317.077	2.7187	402.8646	24.2966	8.0011	30.2557	4.0361	383.5322	26.8538	2.0236	725
E560A3_1_103_5	-1.128	0.944	1282.7995	370.922	2.6014	476.7066	14.0901	13.6163	30.1987	2.4682	323.9714	26.8515	2.4396	600
E560A3_1_104_4	0.012	-3.103	1467.1891	311.6634	2.5819	458.3662	18.8611	11.6774	27.6608	2.3263	362.8469	25.6986	2.1836	445
E560A3_1_104_5	-0.293	-0.679	1498.848	301.4371	2.6501	452.0104	17.8868	11.3421	26.687	2.8297	359.916	26.2508	2.1166	400
E560A3_1_105_1	-0.839	0.044	1460.8827	269.2262	2.6501	392.7724	23.2372	8.2183	26.8448	2.8569	414.2631	26.619	1.8438	650
E560A3_1_105_2	-0.002	-0.585	1705.3856	287.3452	2.6621	497.5868	13.8595	14.2508	25.0459	2.185	357.5634	24.6173	2.2009	445
E560A3_1_105_5	0.281	1.529	1405.8349	285.1803	2.5788	397.7055	21.9746	8.5156	28.0443	3.5676	393.561	26.6843	1.9049	640
E560A3_1_106_1	-1.061	-1.933	1204.4266	360.6981	2.6179	427.5822	14.6644	11.5661	29.6871	3.2424	339.6417	29.3683	2.2369	620
E560A3_1_107_3	-0.001	0.471	1495.5375	305.7282	2.6127	459.4329	13.4998	12.6387	26.467	2.1947	358.2037	26.0286	2.1663	470
E560A3_1_107_5	0.069	0.904	1337.3658	330.0761	2.5493	436.4168	19.5148	9.7646	28.7554	3.2783	356.1223	27.1991	2.1738	720
E560A3_1_108_2	-0.844	-0.87	1616.1145	267.6732	2.5474	433.9847	20.8389	8.9802	24.7839	2.3738	397.4972	25.866	1.9555	395
E560A3_1_108_3	-0.517	-1.099	1464.7351	295.0007	2.5789	429.9934	17.7079	10.0731	27.1338	3.0114	381.1161	26.1798	2.0405	570
E560A3_1_108_5	-1.84	-1.046	1301.0938	328.751	2.4921	423.4048	25.9301	6.9149	27.7949	3.67	363.2459	28.7394	2.1293	630
E560A3_1_110_3	-0.544	-3.536	1428.1101	269.9598	2.6578	381.6171	22.9338	8.2031	28.0743	3.6324	417.8081	26.2991	1.8079	650
E560A3_1_110_4	0.103	-0.833	1357.2354	318.2144	2.6561	429.7346	14.2741	11.6483	28.9808	2.4967	362.1369	26.1475	2.1159	485
E560A3_1_111_3	-1.884	-2.258	1287.26	333.6012	2.5925	419.8372	16.9271	10.1564	28.9627	2.9194	355.5017	27.9587	2.1266	400
E560A3_1_111_5	-1.15	-1.847	1126.8546	388.777	2.607	431.2055	20.7021	8.7015	32.3352	3.4927	328.7289	28.8038	2.3323	575
E560A3_1_112_4	-0.649	0.435	1286.5576	351.1184	2.6587	447.8117	20.311	9.8008	29.745	2.7386	343.2793	27.1872	2.283	530
E560A3_1_113_1	-0.638	-1.217	1471.5862	293.5143	2.6659	430.3156	16.1023	11.3424	27.3608	3.9896	376.1516	26.0425	2.0284	450
E560A3_1_113_5	0.897	-0.527	1312.105	289.7943	2.7431	377.2509	15.2376	10.3935	29.6676	3.9735	409.1845	27.1077	1.8629	585
E560A3_1_114_5	2.871	-2.692	1167.0276	338.6054	2.5925	393.5332	18.2944	9.0079	29.3659	3.03	368.9763	30.529	2.0652	560
E560A3_1_115_3	0.863	-1.84	1556.7692	316.9276	2.6594	498.3681	20.5624	11.0372	25.9774	3.1206	335.5191	25.6884	2.3169	480
E560A3_1_115_5	1.792	-1.117	1674.6122	236.9239	2.6155	397.0247	24.9548	7.6567	25.3541	2.8071	435.8807	24.6057	1.7405	365
E560A3_1_116_3	-1.599	0.077	1392.443	258.3966	2.5424	360.5021	26.3837	6.2069	27.7747	3.0042	439.3725	26.6907	1.7173	425
E560A3_1_117_3	-1.563	-0.779	1297.0626	330.7154	2.6163	424.0351	15.6443	10.5978	30.1001	3.2955	360.0739	26.8291	2.1339	590
E560A3_1_117_5	-1.353	0.518	1165.4738	381.5482	2.628	443.4483	12.9521	12.9881	32.514	4.2333	327.9521	27.9411	2.3484	610
E560A3_1_118_2	0.619	-1.174	1218.9858	357.0013	2.5829	428.2814	17.5672	10.0845	29.9159	3.3924	348.8652	28.9466	2.2358	670
E560A3_1_119_4	0.306	0.657	1427.9583	307.3805	2.6812	438.2465	17.6583	10.6498	29.6839	3.6	361.9257	24.5112	2.0892	400
E560A3_1_120_4	-3.347	-0.495	1267.4569	285.7206	2.6298	365.2999	16.7171	8.8053	29.5149	3.9844	411.8194	27.5895	1.8227	570
E560A3_1_121_1	10.911	17.932	1744.1571	284.7302	2.6024	486.3731	21.9049	10.0186	23.1688	1.2662	357.9226	25.8288	2.1426	310
E560A3_1_121_3	10.753	18.22	1872.5296	245.2869	2.6468	462.2918	24.7051	8.8941	25.3605	2.5859	398.7304	21.8989	1.9373	480
